Antibody,Antigen,IC50,
0.5Ɣ,6535_3,0.3,
0.5Ɣ,89_6,<.05,
0.5Ɣ,AC10_29,110,
0.5Ɣ,BAL_01,<.05,
0.5Ɣ,CAAN5342,80,
0.5Ɣ,CAP210_E8,>150,
0.5Ɣ,CAP45_G3,>150,
0.5Ɣ,CH040_C,>150,
0.5Ɣ,CH058_C,>150,
0.5Ɣ,CH077_C,>150,
0.5Ɣ,CH106_C,>150,
0.5Ɣ,DU156_12,>150,
0.5Ɣ,DU172_17,>150,
0.5Ɣ,DU422_1,>150,
0.5Ɣ,HXB2,>150,
0.5Ɣ,JRFL,3.47,
0.5Ɣ,KKGO,0.83,
0.5Ɣ,KMT,3.42,
0.5Ɣ,KTS376_96,8.04,
0.5Ɣ,MOKW,<.05,
0.5Ɣ,PVO_4,35,
0.5Ɣ,QH0692_42,38,
0.5Ɣ,REJO4541_67,6.5,
0.5Ɣ,RHPA4259_7,10.5,
0.5Ɣ,SC422_8,>150,
0.5Ɣ,SF162,<.05,
0.5Ɣ,SUMA_D5_8_2,>150,
0.5Ɣ,TH966_8,>150,
0.5Ɣ,TH976_17,>150,
0.5Ɣ,THRO4156,>150,
0.5Ɣ,TRJO4551_58,4.5,
0.5Ɣ,TRO_11,82,
0.5Ɣ,UG037_8,>150,
0.5Ɣ,WITO4160_33,1.1,
0.5Ɣ,YKI,13.78,
0.5Ɣ,YU2,4.28,
0.5Ɣ,ZM109_4,>150,
0.5Ɣ,ZM135_10A,>150,
0.5Ɣ,ZM197_7,>150,
0.5Ɣ,ZM214_15,>150,
0.5Ɣ,ZM233_6,>150,
0.5Ɣ,ZM249_1,>150,
0.5Ɣ,ZM53_12,>150,
10-1074,0013095_2_11,5.84,
10-1074,0013095_2_11,>20,
10-1074,0013095_2_11,5.84,
10-1074,0013095_2_11,>50,
10-1074,0013095_2_11,4.22,
10-1074,0013095_2_11,>10,
10-1074,0013095_2_11,>10,
10-1074,0013095_2_11,5.84,
10-1074,0013095_2_11,>25,
10-1074,0013095_2_11,5.84,
10-1074,0013095_2_11,>50,
10-1074,001428_2_42,0.008,
10-1074,001428_2_42,0.055,
10-1074,001428_2_42,0.008,
10-1074,001428_2_42,0.044,
10-1074,001428_2_42,0.061,
10-1074,001428_2_42,0.035,
10-1074,001428_2_42,0.035,
10-1074,001428_2_42,0.008,
10-1074,001428_2_42,0.079,
10-1074,001428_2_42,0.008,
10-1074,001428_2_42,0.044,
10-1074,0041_V3_C18,>20,
10-1074,0041_V3_C18,>20,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>20,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>20,
10-1074,00836_2_5,>50,
10-1074,00836_2_5,>50,
10-1074,00836_2_5,>50,
10-1074,00836_2_5,>50,
10-1074,00836_2_5,>50,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.201,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.099,
10-1074,0260_V5_C36,0.179,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.344,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.099,
10-1074,0260_V5_C36,0.164,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.054,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.034,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.043,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.088,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.03,
10-1074,0815_V3_C3,0.065,
10-1074,0815_V3_C3,0.043,
10-1074,0815_V3_C3,0.043,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.025,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.03,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>20,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>20,
10-1074,0933_V4_C4,>20,
10-1074,0933_V4_C4,>20,
10-1074,0984_V2_C2,0.954,
10-1074,0984_V2_C2,0.954,
10-1074,09GX268,>10,
10-1074,09GX268_E332N_N334S,5.875,
10-1074,09GX285,>10,
10-1074,09GX285_E332N_N334S,0.288,
10-1074,09GX286,>10,
10-1074,09GX300,>10,
10-1074,09GX310,>10,
10-1074,09GX311,>10,
10-1074,09GX319,>10,
10-1074,09GX319_E332N_N334S,>10,
10-1074,09GX319_F330H_E332N_N334S,0.267,
10-1074,09GX330,>10,
10-1074,09GX332,>10,
10-1074,09GX332_E332N_N334S,0.177,
10-1074,1006_11_C3_1601,0.001,
10-1074,1006_11_C3_1601,0.003,
10-1074,1006_11_C3_1601,0.002,
10-1074,1006_11_C3_1601,0.002,
10-1074,1006_11_C3_1601,0.001,
10-1074,1006_11_C3_1601,0.003,
10-1074,1012_11_TC21_3257,0.023,
10-1074,1012_11_TC21_3257,0.008,
10-1074,1012_11_TC21_3257,0.011,
10-1074,1012_11_TC21_3257,0.011,
10-1074,1012_11_TC21_3257,0.009,
10-1074,1012_11_TC21_3257,0.008,
10-1074,1054_07_TC4_1499,0.113,
10-1074,1054_07_TC4_1499,0.129,
10-1074,1054_07_TC4_1499,0.048,
10-1074,1054_07_TC4_1499,0.048,
10-1074,1054_07_TC4_1499,0.108,
10-1074,1054_07_TC4_1499,0.129,
10-1074,1056_10_TA11_1826,0.072,
10-1074,1056_10_TA11_1826,0.038,
10-1074,1056_10_TA11_1826,0.038,
10-1074,1056_10_TA11_1826,0.038,
10-1074,1056_10_TA11_1826,0.063,
10-1074,1056_10_TA11_1826,0.038,
10-1074,1107356_07,0.103,
10-1074,1107356_07,0.103,
10-1074,1143465_14,0.298,
10-1074,1143465_14,0.298,
10-1074,1170887_08,>20,
10-1074,1170887_08,>20,
10-1074,1245045,>20,
10-1074,1245045,>20,
10-1074,1394_C9G1,0.038,
10-1074,1394_C9G1,0.031,
10-1074,1394_C9G1,0.05,
10-1074,1394_C9G1,0.031,
10-1074,1394_C9G1,0.031,
10-1074,1394_C9G1,0.021,
10-1074,1394_C9G1,0.05,
10-1074,1394_C9G1,0.031,
10-1074,1536_BL_E11_4,0.052,
10-1074,1536_BL_E5_3,0.238,
10-1074,1536_BL_E6_1,0.21,
10-1074,1536_BL_G9_4,0.03,
10-1074,1536_V15_A12_4,>50,
10-1074,1536_V15_C11_2,>50,
10-1074,1536_V15_C7_1,>50,
10-1074,1536_V15_D11_4,0.098,
10-1074,1536_V15_D12_1,>50,
10-1074,1536_V15_D6_1,0.123,
10-1074,1536_V16_A9_2,>50,
10-1074,1536_V16_B1_3,>50,
10-1074,1536_V16_B6_1,0.103,
10-1074,1536_V16_B7_3,>50,
10-1074,15JS01,>10,
10-1074,15JS01_E332N_N334S,0.062,
10-1074,15JS06,>10,
10-1074,15JS07,>10,
10-1074,15JS07_E332N_N334S,0.033,
10-1074,15JS102,>10,
10-1074,15JS111,>10,
10-1074,15JS47,>10,
10-1074,15JS47_E332N_N334S,0.24,
10-1074,15JS48,>10,
10-1074,15JS48_E332N_N334S,>10,
10-1074,15JS48_Y330H_E332N_N334S,2.214,
10-1074,15JS62,>10,
10-1074,15JS65,>10,
10-1074,15JS65_E332N_N334S,0.134,
10-1074,15JS75,>10,
10-1074,15JS76,>10,
10-1074,15JS76_E332N_N334S,0.365,
10-1074,15JS79,>10,
10-1074,15JS79_E332N_N334S,1.091,
10-1074,15JS99,>10,
10-1074,16055_2_3,>50,
10-1074,16055_2_3,>20,
10-1074,16055_2_3,>50,
10-1074,16055_2_3,>50,
10-1074,16055_2_3,>50,
10-1074,16055_2_3,>10,
10-1074,16055_2_3,>10,
10-1074,16055_2_3,>50,
10-1074,16055_2_3,>25,
10-1074,16055_2_3,>50,
10-1074,16055_2_3,>50,
10-1074,16845_2_22,0.318,
10-1074,16845_2_22,1.93,
10-1074,16845_2_22,0.986,
10-1074,16845_2_22,0.318,
10-1074,16845_2_22,1.169,
10-1074,16845_2_22,0.828,
10-1074,16845_2_22,0.727,
10-1074,16845_2_22,0.727,
10-1074,16845_2_22,0.318,
10-1074,16845_2_22,1.32,
10-1074,16845_2_22,0.318,
10-1074,16845_2_22,1.169,
10-1074,16936_2_21,0.0003,
10-1074,16936_2_21,0.0003,
10-1074,16936_2_21,0.008,
10-1074,16936_2_21,0.003,
10-1074,16936_2_21,0.003,
10-1074,1811_B3_23,0.036,
10-1074,1811_B3_23,0.036,
10-1074,18814602_H8_F3,0.006,
10-1074,18814602_H8_F3,0.006,
10-1074,190049,>50,
10-1074,191084_B7_19,0.057,
10-1074,191084_B7_19,0.032,
10-1074,191084_B7_19,0.026,
10-1074,191084_B7_19,0.026,
10-1074,191084_B7_19,0.027,
10-1074,191084_B7_19,0.032,
10-1074,191084_B7_19,0.032,
10-1074,19157834_V1,0.019,
10-1074,19157834_V1,0.019,
10-1074,191647,0.025,
10-1074,191727_F6,14.64,
10-1074,191821_E6_1,>50,
10-1074,191821_E6_1,>20,
10-1074,191821_E6_1,>50,
10-1074,191821_E6_1,>50,
10-1074,191821_E6_1,>50,
10-1074,191821_E6_1,>10,
10-1074,191821_E6_1,>10,
10-1074,191821_E6_1,>25,
10-1074,191821_E6_1,>50,
10-1074,191821_E6_1,>50,
10-1074,191821_E6_1,>50,
10-1074,191845_B11,0.012,
10-1074,191859,0.277,
10-1074,191882,0.239,
10-1074,191955_A11,>20,
10-1074,191955_A11,>50,
10-1074,191955_A11,>10,
10-1074,191955_A11,>10,
10-1074,191955_A11,>25,
10-1074,191955_A11,>50,
10-1074,191955_A11,>50,
10-1074,19252094_A5_G2,0.033,
10-1074,19252094_A5_G2,0.033,
10-1074,19314479_A2_5,>20,
10-1074,19314479_A2_5,>20,
10-1074,19707346_E8_C6,>20,
10-1074,19707346_E8_C6,>20,
10-1074,19715820_A10_H2,0.095,
10-1074,19715820_A10_H2,0.095,
10-1074,1HB1_D0_012016_B4_S3,0.005,
10-1074,1HB1_D0_012016_C7_S6,0.002,
10-1074,1HB1_D0_012016_F10_S11,0.008,
10-1074,1HB1_D0_012216_B2_S21,0.008,
10-1074,1HB1_D0_012216_G6_S32,0.004,
10-1074,1HB1_W4_012016_D10_S47,>50,
10-1074,1HB1_W4_020416_A6_S52,>50,
10-1074,1HB1_W4_020416_B2_S54,>50,
10-1074,1HB1_W4_020416_D3_S58,>50,
10-1074,1HB1_W4_020416_H6_S65,>50,
10-1074,1HB2_D0_102315_C3_S1,0.014,
10-1074,1HB2_D0_102315_C7_S2,0.009,
10-1074,1HB2_D0_102615_B11_S13,0.007,
10-1074,1HB2_D0_102615_C8_S18,0.012,
10-1074,1HB2_D0_102615_E9_S22,0.013,
10-1074,1HB2_W4_103015_A11_S74,>50,
10-1074,1HB2_W4_103015_C9_S80,>50,
10-1074,1HB2_W4_103015_D11_S85,>50,
10-1074,1HB2_W4_103015_D7_S84,>50,
10-1074,1HB2_W4_103015_F1_S87,>50,
10-1074,1HB2_W4_103015_F2_S88,>50,
10-1074,1HB3_D0_102315_G10_S34,0.041,
10-1074,1HB3_D0_102915_B2_S49,0.011,
10-1074,1HB3_D0_102915_B6_S51,0.032,
10-1074,1HB3_D0_102915_C7_S56,0.028,
10-1074,1HB3_W4_102815_F7_S45,>50,
10-1074,1HB3_W4_110215_C10_S52E,>50,
10-1074,1HB3_W4_110215_C7_S50E,>50,
10-1074,1HB3_W4_110215_G3_S63,>50,
10-1074,1HB3_W4_110215_H3_S67,>50,
10-1074,1HC1_D0_061516_A1_S68,0.305,
10-1074,1HC1_D0_061516_B5_S69,>50,
10-1074,1HC1_D0_061516_C4_S70,0.286,
10-1074,1HC1_D0_061616_G4_S15,0.337,
10-1074,1HC1_D0_070516_F10_S90,0.242,
10-1074,1HC1_D0_070516_F11_S91,0.878,
10-1074,1HC1_W4_070116_B8_S30,>50,
10-1074,1HC1_W4_070516PL2_B4_S96,>50,
10-1074,1HC1_W4_070516PL2_G5_S11,0.557,
10-1074,1HC1_W4_070516PL3_A3_S14,>50,
10-1074,1HC1_W4_071216_D3_S66,0.446,
10-1074,1HC1_W4_071216_F7_S69,>50,
10-1074,1HC2_D0_012016_A5_S39,0.104,
10-1074,1HC2_D0_012016_F5_S52,0.1,
10-1074,1HC2_D0_012216_C11_S66,0.023,
10-1074,1HC2_D0_012216_D1_S67,0.037,
10-1074,1HC2_D0_012216_F9_S75,0.029,
10-1074,1HC2_D0_012216_H10_S82,0.032,
10-1074,1HC2_W4_012016_F6_S83,>50,
10-1074,1HC2_W4_012016_H12_S93,>50,
10-1074,1HC2_W4_012216_A10_S1,>50,
10-1074,1HC2_W4_012216_A6_S95,>50,
10-1074,1HC2_W4_012216_E4_S9,>50,
10-1074,1HC2_W4_012216_G5_S14,>50,
10-1074,1HC3_D0_012016_F7_S31,0.15,
10-1074,1HC3_D0_012016_G2_S34,0.243,
10-1074,1HC3_D0_012216_B1_S40,0.148,
10-1074,1HC3_D0_012216_E10_S49,0.203,
10-1074,1HC3_D0_012216_G3_S52,0.284,
10-1074,1HC3_W4_012016_G1_S19,>50,
10-1074,1HC3_W4_012016_H5_S21,>50,
10-1074,1HC3_W4_012616_C7_S77,>50,
10-1074,1HC3_W4_012616_F1_S85,>50,
10-1074,1HC3_W4_012616_G4_S89,>50,
10-1074,1HD1_D0_012016_A4_S67,0.019,
10-1074,1HD1_D0_012016_D6_S73,0.008,
10-1074,1HD1_D0_012016_H4_S83,0.008,
10-1074,1HD1_D0_012716_B1_S14,0.014,
10-1074,1HD1_D0_012716_B7_S16,0.014,
10-1074,1HD1_W4_012016_C11_S93,>50,
10-1074,1HD1_W4_012016_C12_S94,>50,
10-1074,1HD1_W4_012616_A6_S94,>50,
10-1074,1HD1_W4_012616_D9_S6,>50,
10-1074,1HD1_W4_012616_F9_S11,>50,
10-1074,1HD2_PREINF_051916_A12_S61,>50,
10-1074,1HD2_PREINF_051916_B4_S62,>50,
10-1074,1HD2_PREINF_051916_D8_S66,>50,
10-1074,1HD2_PREINF_051916_H4_S73,>50,
10-1074,1HD4K_D0_061516_E3_S53,0.006,
10-1074,1HD4K_D0_061516_F7_S57,0.006,
10-1074,1HD4K_D0_061616PL1_D4_S83,0.006,
10-1074,1HD4K_D0_061616PL2_A4_S53,0.005,
10-1074,1HD4K_D0_061616PL2_C2_S57,0.009,
10-1074,1HD4K_W4_062316PL3_A3_S25,>50,
10-1074,1HD4K_W4_062316PL3_B1_S27,>50,
10-1074,1HD4K_W4_062316PL3_B9_S29,>50,
10-1074,1HD4K_W4_062316PL4_A11_S47,>50,
10-1074,1HD4K_W4_062316PL4_A3_S44,>50,
10-1074,1HD5K_D0_061016_C5_S3,0.054,
10-1074,1HD5K_D0_061416PL1_F1_S17,0.054,
10-1074,1HD5K_D0_061416PL2_D11_S27,0.037,
10-1074,1HD5K_D0_061416PL2_D12_S28,0.054,
10-1074,1HD5K_D0_061616_F6_S42,0.046,
10-1074,1HD5K_W4_061416_A6_S32E,>50,
10-1074,1HD5K_W4_061616_A12_S44,>50,
10-1074,1HD5K_W4_061616_C11_S49,>50,
10-1074,1HD5K_W4_061616_C12_S50,>50,
10-1074,1HD5K_W4_062316_D10_S59,>50,
10-1074,1HD5K_W4_062916_A6_S61,>50,
10-1074,1HD6K_D0_061016_B3_S9,0.025,
10-1074,1HD6K_D0_061416_F12_S50,0.053,
10-1074,1HD6K_D0_061616_C10_S24,0.032,
10-1074,1HD6K_D0_061616_C6_S21,0.026,
10-1074,1HD6K_W4_070516_G5_S26,>50,
10-1074,1HD6K_W8_072616_D6_S65,>50,
10-1074,1HD6K_W8_072616_F2_S69,0.044,
10-1074,1HD6K_W8_072616_G10_S70,>50,
10-1074,1HD8K_D0_061616_B4_S93,0.001,
10-1074,1HD8K_D0_062916_A4_S69,0.007,
10-1074,1HD8K_D0_062916_A9_S72,0.002,
10-1074,1HD8K_D0_062916_F6_S90,0.057,
10-1074,1HD8K_D0_062916_H6_S95,0.001,
10-1074,1HD8K_W4_070116PL3_C6_S63,>50,
10-1074,1HD8K_W4_070116PL3_G12_S77,>50,
10-1074,1HD8K_W4_070116PL3_H8_S80,>50,
10-1074,1HD8K_W4_070116PL4_E1_S86,>50,
10-1074,1HD8K_W4_070116PL4_E9_S87,>50,
10-1074,1HD8K_W4_070116PL4_F7_S89,>50,
10-1074,1HD9K_D0_070816_B3_S30,>50,
10-1074,1HD9K_D0_070816_C3_S35,>50,
10-1074,1HD9K_D0_071116PL6_A10_S86,>50,
10-1074,20104663_E11_D2,0.005,
10-1074,20104663_E11_D2,0.005,
10-1074,20198102_E9_G1,0.196,
10-1074,20198102_E9_G1,0.196,
10-1074,20258279_V2,0.053,
10-1074,20258279_V2,0.053,
10-1074,20286961_C1_H8,>20,
10-1074,20286961_C1_H8,>20,
10-1074,20355851_20,>20,
10-1074,20355851_20,>20,
10-1074,20358510_01,8.535,
10-1074,20358510_01,8.535,
10-1074,20417927_07,>20,
10-1074,20417927_07,>20,
10-1074,20721190,0.611,
10-1074,20721190,0.611,
10-1074,20803520,0.108,
10-1074,20803520,0.108,
10-1074,20883229_C9_H6,0.006,
10-1074,20883229_C9_H6,0.006,
10-1074,20915593,0.58,
10-1074,20915593,0.58,
10-1074,20927783,4.152,
10-1074,20927783,4.152,
10-1074,20965238,>20,
10-1074,20965238,>20,
10-1074,21020_13,>50,
10-1074,211_9,0.203,
10-1074,211_9,0.112,
10-1074,211_9,0.065,
10-1074,211_9,0.065,
10-1074,211_9,0.153,
10-1074,211_9,0.112,
10-1074,21197826_V1,0.551,
10-1074,21197826_V1,0.551,
10-1074,21203310_G7_C3,0.043,
10-1074,21203310_G7_C3,0.043,
10-1074,21261106_C12_H2,>20,
10-1074,21261106_C12_H2,>20,
10-1074,21283649,>20,
10-1074,21283649,>20,
10-1074,21369737_G11_F2,>20,
10-1074,21369737_G11_F2,>20,
10-1074,21399975_E2_B3,0.925,
10-1074,21399975_E2_B3,0.925,
10-1074,21492713_B11_E3,0.015,
10-1074,21492713_B11_E3,0.015,
10-1074,21502011_F12_E2,0.016,
10-1074,21502011_F12_E2,0.016,
10-1074,21561324_D3_B5,0.004,
10-1074,21561324_D3_B5,0.004,
10-1074,2305_BL_G1_1,<0.001,
10-1074,2305_BL_G2_1,0.003,
10-1074,2305_BL_H1_3,0.001,
10-1074,2305_BL_H4_3,<0.001,
10-1074,2305_V7_E5_2,>50,
10-1074,2305_V7_F1_4,>50,
10-1074,2305_V7_G2_2,>50,
10-1074,2305_V7_G5_4,>50,
10-1074,2305_V7_G6_1,>50,
10-1074,2305_V7_G7_1,>50,
10-1074,2305_V7_G9_2,>50,
10-1074,2305_V7_H11_2,>50,
10-1074,2305_V7_H5_1,>50,
10-1074,231965_C1,10,
10-1074,231965_C1,10,
10-1074,231965_C1,>20,
10-1074,231965_C1,10,
10-1074,231965_C1,>50,
10-1074,231965_C1,>50,
10-1074,231965_C1,>10,
10-1074,231965_C1,>10,
10-1074,231965_C1,10,
10-1074,231965_C1,>25,
10-1074,231965_C1,10,
10-1074,231965_C1,>50,
10-1074,231965_C1,>50,
10-1074,231966_C2,>20,
10-1074,231966_C2,>50,
10-1074,231966_C2,>10,
10-1074,231966_C2,>10,
10-1074,231966_C2,>25,
10-1074,231966_C2,>50,
10-1074,231966_C2,>50,
10-1074,2319_BL_A3_2,0.023,
10-1074,2319_BL_B1_2,0.01,
10-1074,2319_BL_B2_4,0.101,
10-1074,2319_BL_B3_2,0.152,
10-1074,2319_BL_C1_4,0.032,
10-1074,2319_BL_E10_2,0.009,
10-1074,2319_BL_E12_2,0.001,
10-1074,2319_BL_E3_1,0.008,
10-1074,2319_BL_F1_1,0.018,
10-1074,2319_BL_H1_1,0.026,
10-1074,2319_BL_H4_4,0.001,
10-1074,2319_BL_H7_1,0.029,
10-1074,2319_V7_B1_3,0.084,
10-1074,2319_V7_C1_4,0.015,
10-1074,2319_V7_D2_4,>50,
10-1074,2319_V7_H3_2,0.043,
10-1074,234_F1_16_57,>20,
10-1074,234_F1_16_57,>20,
10-1074,235080_3G7_REV,0.001,
10-1074,235080_3G7_REV,0.001,
10-1074,235_47,0.004,
10-1074,235_47,0.004,
10-1074,235_47,0.092,
10-1074,235_47,0.004,
10-1074,235_47,0.05,
10-1074,235_47,0.041,
10-1074,235_47,0.058,
10-1074,235_47,0.058,
10-1074,235_47,0.004,
10-1074,235_47,0.02,
10-1074,235_47,0.004,
10-1074,235_47,0.05,
10-1074,242_14,>50,
10-1074,242_14,>50,
10-1074,242_14,>50,
10-1074,242_14,>50,
10-1074,242_14,>50,
10-1074,242_14,>50,
10-1074,246_F3_C10_2,>50,
10-1074,246_F3_C10_2,>50,
10-1074,246_F3_C10_2,>50,
10-1074,246_F3_C10_2,>25,
10-1074,246_F3_C10_2,>50,
10-1074,246_F3_C10_2,>50,
10-1074,247_23,>50,
10-1074,247_23,>50,
10-1074,247_23,>50,
10-1074,247_23,>50,
10-1074,247_23,>50,
10-1074,247_23,>50,
10-1074,249M_B10,>50,
10-1074,249M_B10,>50,
10-1074,249M_B10,>10,
10-1074,249M_B10,>10,
10-1074,249M_B10,>25,
10-1074,249M_B10,>50,
10-1074,25710_2_43,0.011,
10-1074,25710_2_43,0.011,
10-1074,25710_2_43,0.06,
10-1074,25710_2_43,0.011,
10-1074,25710_2_43,0.051,
10-1074,25710_2_43,0.011,
10-1074,25710_2_43,0.08,
10-1074,25710_2_43,0.137,
10-1074,25711_2_4,0.001,
10-1074,25711_2_4,0.001,
10-1074,25711_2_4,0.023,
10-1074,25711_2_4,0.024,
10-1074,25711_2_4,0.024,
10-1074,25925_2_22,0.001,
10-1074,25925_2_22,0.001,
10-1074,25925_2_22,0.019,
10-1074,25925_2_22,0.042,
10-1074,25925_2_22,0.042,
10-1074,26191_2_48,0.01,
10-1074,26191_2_48,0.01,
10-1074,26191_2_48,0.072,
10-1074,26191_2_48,0.01,
10-1074,26191_2_48,0.01,
10-1074,263_8,0.092,
10-1074,263_8,0.092,
10-1074,263_8,0.793,
10-1074,263_8,0.092,
10-1074,263_8,0.666,
10-1074,263_8,0.302,
10-1074,263_8,0.416,
10-1074,263_8,0.416,
10-1074,263_8,0.092,
10-1074,263_8,0.31,
10-1074,263_8,0.092,
10-1074,263_8,0.666,
10-1074,269_12,0.004,
10-1074,269_12,0.004,
10-1074,269_12,0.004,
10-1074,269_12,0.061,
10-1074,269_12,0.004,
10-1074,269_12,0.004,
10-1074,271_11,>50,
10-1074,271_11,>50,
10-1074,271_11,>50,
10-1074,271_11,>50,
10-1074,271_11,>50,
10-1074,271_11,>50,
10-1074,2759058_F10_B6,>20,
10-1074,2759058_F10_B6,>20,
10-1074,2768732_C5_16,>20,
10-1074,2768732_C5_16,>20,
10-1074,2833264,>20,
10-1074,2833264,>20,
10-1074,286_36,0.0003,
10-1074,286_36,0.0003,
10-1074,286_36,0.006,
10-1074,286_36,0.009,
10-1074,286_36,0.009,
10-1074,2865_A11_12,2.057,
10-1074,2865_A11_12,2.057,
10-1074,2869751_A4_D3,0.17,
10-1074,2869751_A4_D3,0.17,
10-1074,288_38,0.0007,
10-1074,288_38,0.0007,
10-1074,288_38,0.021,
10-1074,288_38,0.024,
10-1074,288_38,0.024,
10-1074,2891391_A2_E1,12.928,
10-1074,2891391_A2_E1,12.928,
10-1074,2936_BL_B10_3,0.004,
10-1074,2936_BL_C1_3,0.006,
10-1074,2936_BL_E10_2,0.004,
10-1074,2936_V9_A3_3,>50,
10-1074,2936_V9_B3_2,>50,
10-1074,2936_V9_B4_3,>50,
10-1074,2936_V9_C3_2,>50,
10-1074,2936_V9_C5_2,>50,
10-1074,2936_V9_D3_3,>50,
10-1074,2936_V9_E3_3,>50,
10-1074,2936_V9_F2_3,>50,
10-1074,2969249,>20,
10-1074,2969249,>20,
10-1074,2990_BL_E2_8,<0.001,
10-1074,2990_BL_E5_2,<0.001,
10-1074,2990_BL_F1_1,<0.001,
10-1074,2990_BL_F4_2,0.002,
10-1074,2990_BL_G1_2,<0.001,
10-1074,2990_V7_B5_2,0.003,
10-1074,2990_V7_B6_2,0.051,
10-1074,2990_V7_C10_3,0.002,
10-1074,2990_V7_C1_4,<0.001,
10-1074,2990_V7_C2_3,<0.001,
10-1074,2990_V7_C9_1,<0.001,
10-1074,2990_V7_D4_4,<0.001,
10-1074,2990_V7_F2_3,<0.001,
10-1074,2990_V7_F7_2,>50,
10-1074,3016_V5_C45,>50,
10-1074,3016_V5_C45,>50,
10-1074,3016_V5_C45,>50,
10-1074,3016_V5_C45,>50,
10-1074,3016_V5_C45,>50,
10-1074,3016_V5_C45,>50,
10-1074,3016_V5_C45,>10,
10-1074,3016_V5_C45,>10,
10-1074,3016_V5_C45,>50,
10-1074,3016_V5_C45,>25,
10-1074,3016_V5_C45,>50,
10-1074,3016_V5_C45,>50,
10-1074,3016_V5_C45,>50,
10-1074,304_F2_1_11,>20,
10-1074,304_F2_1_11,>20,
10-1074,3103_V3_C10,0.041,
10-1074,3103_V3_C10,0.037,
10-1074,3103_V3_C10,0.024,
10-1074,3103_V3_C10,0.024,
10-1074,3103_V3_C10,0.004,
10-1074,3103_V3_C10,0.037,
10-1074,3168_V4_C10,0.391,
10-1074,3168_V4_C10,0.382,
10-1074,3168_V4_C10,0.391,
10-1074,3168_V4_C10,0.531,
10-1074,3168_V4_C10,0.391,
10-1074,3168_V4_C10,0.391,
10-1074,3168_V4_C10,0.382,
10-1074,329_14_B1,<0.02,
10-1074,329_14_B4,<0.02,
10-1074,329_15_A1,<0.02,
10-1074,329_15_B1,<0.02,
10-1074,329_16_C1,<0.02,
10-1074,329_16_D5,<0.02,
10-1074,330_14_A12,0.04,
10-1074,330_14_A20,<0.02,
10-1074,330_15_C36,<0.02,
10-1074,330_15_D36,<0.02,
10-1074,330_15_E36,<0.02,
10-1074,330_16_A2,1.02,
10-1074,330_16_D4,1.54,
10-1074,330_16_E6,<0.02,
10-1074,330_16_H2,0.99,
10-1074,3301_V1_C24,0.018,
10-1074,3301_V1_C24,0.001,
10-1074,3301_V1_C24,0.02,
10-1074,3301_V1_C24,0.001,
10-1074,3301_V1_C24,0.013,
10-1074,3301_V1_C24,0.023,
10-1074,3301_V1_C24,0.018,
10-1074,3301_V1_C24,0.018,
10-1074,3301_V1_C24,0.018,
10-1074,3301_V1_C24,0.003,
10-1074,3301_V1_C24,0.018,
10-1074,3301_V1_C24,0.013,
10-1074,3312_D6_2,0.043,
10-1074,3312_D6_2,0.043,
10-1074,3326_V4_C3,>50,
10-1074,3326_V4_C3,>50,
10-1074,3326_V4_C3,>50,
10-1074,3326_V4_C3,>50,
10-1074,3326_V4_C3,>50,
10-1074,3326_V4_C3,>50,
10-1074,3337_V2_C6,0.008,
10-1074,3337_V2_C6,0.008,
10-1074,3337_V2_C6,0.008,
10-1074,3337_V2_C6,0.057,
10-1074,3337_V2_C6,0.008,
10-1074,3337_V2_C6,0.008,
10-1074,3365_V2_C20,0.003,
10-1074,3365_V2_C20,0.003,
10-1074,3365_V2_C20,0.16,
10-1074,3365_V2_C20,0.003,
10-1074,3365_V2_C20,0.131,
